,MMSI,LAT,LON,VesselName
203,367552480,38.93143,-74.89537,AMERICAN STAR
204,367552480,38.93004,-74.90064,AMERICAN STAR
205,367552480,38.92905,-74.90609,AMERICAN STAR
206,367552480,38.92838,-74.90968,AMERICAN STAR
207,367552480,38.92739,-74.91515,AMERICAN STAR
208,367552480,38.92647,-74.9206,AMERICAN STAR
209,367552480,38.9262,-74.92616,AMERICAN STAR
210,367552480,38.92605,-74.92976,AMERICAN STAR
211,367552480,38.92625,-74.93513,AMERICAN STAR
212,367552480,38.92643,-74.93871,AMERICAN STAR
213,367552480,38.92699,-74.94225,AMERICAN STAR
214,367552480,38.92557,-74.94426,AMERICAN STAR
215,367552480,38.92448,-74.94541,AMERICAN STAR
216,367552480,38.92541,-74.94792,AMERICAN STAR
217,367552480,38.92539,-74.94899,AMERICAN STAR
218,367552480,38.92511,-74.94919,AMERICAN STAR
219,367552480,38.92504,-74.94927,AMERICAN STAR
220,367552480,38.925,-74.95061,AMERICAN STAR
221,367552480,38.92516,-74.95092,AMERICAN STAR
222,367552480,38.92658,-74.95241,AMERICAN STAR
223,367552480,38.92706,-74.95468,AMERICAN STAR
224,367552480,38.92703,-74.95531,AMERICAN STAR
225,367552480,38.92739,-74.95783,AMERICAN STAR
226,367552480,38.92784,-74.9586,AMERICAN STAR
227,367552480,38.92796,-74.95842,AMERICAN STAR
228,367552480,38.92649,-74.95591,AMERICAN STAR
229,367552480,38.92537,-74.95357,AMERICAN STAR
230,367552480,38.925,-74.95078,AMERICAN STAR
231,367552480,38.92422,-74.94891,AMERICAN STAR
232,367552480,38.91952,-74.9462,AMERICAN STAR
233,367552480,38.91493,-74.94304,AMERICAN STAR
234,367552480,38.91044,-74.93929,AMERICAN STAR
235,367552480,38.90565,-74.93656,AMERICAN STAR
236,367552480,38.90095,-74.93376,AMERICAN STAR
237,367552480,38.89641,-74.93058,AMERICAN STAR
238,367552480,38.8919,-74.92741,AMERICAN STAR
239,367552480,38.88719,-74.92511,AMERICAN STAR
240,367552480,38.88417,-74.92315,AMERICAN STAR
241,367552480,38.88025,-74.91887,AMERICAN STAR
242,367552480,38.87892,-74.91744,AMERICAN STAR
243,367552480,38.87484,-74.91337,AMERICAN STAR
244,367552480,38.87206,-74.91081,AMERICAN STAR
245,367552480,38.86866,-74.90599,AMERICAN STAR
246,367552480,38.86879,-74.90366,AMERICAN STAR
247,367552480,38.86967,-74.90186,AMERICAN STAR
248,367552480,38.87097,-74.90157,AMERICAN STAR
249,367552480,38.87165,-74.90191,AMERICAN STAR
250,367552480,38.87129,-74.89936,AMERICAN STAR
251,367552480,38.87252,-74.89784,AMERICAN STAR
252,367552480,38.87313,-74.89688,AMERICAN STAR
253,367552480,38.87046,-74.89836,AMERICAN STAR
254,367552480,38.86899,-74.90194,AMERICAN STAR
255,367552480,38.86726,-74.90744,AMERICAN STAR
256,367552480,38.86721,-74.91333,AMERICAN STAR
257,367552480,38.86689,-74.9191,AMERICAN STAR
258,367552480,38.86667,-74.92475,AMERICAN STAR
259,367552480,38.86694,-74.93016,AMERICAN STAR
260,367552480,38.86836,-74.93543,AMERICAN STAR
261,367552480,38.86865,-74.94109,AMERICAN STAR
262,367552480,38.87054,-74.94611,AMERICAN STAR
263,367552480,38.87423,-74.94912,AMERICAN STAR
264,367552480,38.87813,-74.95148,AMERICAN STAR
265,367552480,38.88211,-74.95354,AMERICAN STAR
266,367552480,38.88595,-74.95558,AMERICAN STAR
267,367552480,38.8896,-74.95803,AMERICAN STAR
268,367552480,38.89314,-74.96071,AMERICAN STAR
269,367552480,38.89654,-74.96372,AMERICAN STAR
270,367552480,38.90051,-74.96575,AMERICAN STAR
271,367552480,38.90454,-74.96764,AMERICAN STAR
272,367552480,38.9086,-74.96951,AMERICAN STAR
273,367552480,38.9128,-74.97087,AMERICAN STAR
274,367552480,38.91708,-74.97212,AMERICAN STAR
275,367552480,38.91977,-74.97327,AMERICAN STAR
276,367552480,38.9238,-74.97452,AMERICAN STAR
277,367552480,38.92802,-74.97554,AMERICAN STAR
278,367552480,38.93226,-74.97488,AMERICAN STAR
279,367552480,38.93649,-74.97458,AMERICAN STAR
280,367552480,38.94084,-74.97443,AMERICAN STAR
281,367552480,38.94672,-74.97335,AMERICAN STAR
282,367552480,38.94971,-74.97258,AMERICAN STAR
